region;x;y;local_a;export_Adria_a;export_Aegean_a;export_Baetica_a;export_East_a;export_Egypt_a;export_Gallia_a;export_Iberia_a;export_Italy_a;export_NA_a;export_Pontic_a;export_Tarraconensis_a;export_unknown_a;export_West_a;local_b;export_adria_b;export_aegean_b;export_Baetica_b;export_East_b;export_Egypt_b;export_Gallia_b;export_Iberia_b;export_Italy_b;export_NA_b;export_Pontic_b;export_Tarraconensis_b;export_unknown_b;export_West_b;local_c;export_adria_c;export_aegean_c;export_baetica_c;export_East_c;export_Egypt_c;export_Gallia_c;export_Iberia_c;export_Italy_c;export_NA_c;export_Pontic_c;export_Tarraconensis_c;export_unknown_c;export_West_c;local_d;export_adria_d;export_aegean_d;export_baetica_d;export_East_d;export_Egypt_d;export_Gallia_d;export_Iberia_d;export_Italy_d;export_NA_d;export_Pontic_d;export_Tarraconensis_d;export_unknown_d;export_West_d
Adriatic;44.898292;18.333991;100;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0
Aegean;38.501019;25.045728;79.42948767;10.28921492;0;0;7.388102357;0;0.25476215;0;1.019048601;1.783335052;0;0;0;0;83.81557554;2.370284467;0;0;10.71569011;0.172650106;0;0;0.521098217;2.404701559;0;0;0;0;84.74917896;3.983215703;0;0;6.413202794;0.182451082;0;0;0.861514712;3.810436748;0;0;0;0;71.25839697;14.30478197;0;0;2.963390964;0;0;0;2.479904211;8.993525881;0;0;0;0
Eastern Mediterranean;33.281165;35.020028;51.78252911;0.30431887;18.46040314;0;0;8.816908962;0;0;2.479755646;18.18487473;0;0;0;0;62.74068817;0.251749173;16.08786606;0;0;6.895234759;0;0;5.31212331;8.712338525;0;0;0;0;65.91675569;0.380493891;16.49181776;0;0;7.896668543;0;0;1.281031222;8.03323289;0;0;0;0;78.71819077;0;13.30916214;0;0;0;0;0;0.822368491;7.150278593;0;0;0;0
Egypt;30.138194;30.133479;95.93806547;0;0;0;4.061934534;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0
Gallia;45.095018;6.396207;13.89654509;86.10345491;0;0;0;0;0;0;0;0;0;0;0;0;54.84782517;16.0378876;0.357822357;2.708189648;0;0;0;0;20.48271024;0.146941763;0;5.418623225;0;0;15.4363438;16.27533951;0.198194762;2.638856292;0;0;0;0;60.38054074;0.263140991;0;4.807583904;0;0;0;11.58531194;0.286602472;40.34512558;0;0;0;0;47.35291323;0.430046779;0;0;0;0
Iberian Peninsula;42.10275;-6.418922;0;0;0;1.629219542;0;0;0.136247618;0;56.13401877;0;0;42.10051407;0;0;0;0;0;66.96022062;0;0;0;0;5.793911333;0;0;27.24586805;0;0;0;0;0;76.20271513;0;0;0;0;4.001871572;0;0;19.7954133;0;0;0;0;0;8.967689012;0;0;0;0;1.134107608;0;0;89.89820338;0;0
Italy;41.395552;10.963839;48.52892381;11.27131915;4.204732836;8.076920145;11.03483952;0.535030081;3.183630988;0;0;5.795455818;0;7.369147646;0;0;44.92027607;11.79475852;14.6588043;1.343792389;9.754300238;0.379796418;6.523057117;0;0;8.680657285;0;1.944557658;0;0;44.5639719;12.86870981;18.34111982;0.581312914;11.20863566;0.458837673;1.398362432;0;0;9.159711911;0;1.419337868;0;0;55.62538887;9.029292924;15.38642801;0.386093501;9.592381624;0;0;0;0;9.980415071;0;0;0;0
North Africa;32.340901;13.592608;56.67368882;0;0;0.890635029;0;18.87618912;0;0;23.55948703;0;0;0;0;0;51.566125;0;0;0.229365122;0;6.834983028;0;0;41.36952685;0;0;0;0;0;61.52358948;1.451389425;0.152221496;0.335549314;0;2.503946554;0;0;34.03330373;0;0;0;0;0;35.08094638;0;2.859798968;4.181247129;0.797286309;3.884340006;0;0;51.70778859;0;0;1.48859262;0;0
Pontic Sea;43.490369;34.330987;0;0;65.07486868;0;0;32.88694166;0;0;0;2.038189655;0;0;0;0;0;53.30457786;20.47734607;0;0;10.13336683;0;0;0;16.08470925;0;0;0;0;0;49.19633447;20.03312148;0;0;10.88976237;0;0;1.674274804;18.20650688;0;0;0;0;0;84.95774847;3.793969906;0;0;0;0;0;0.568659628;10.679622;0;0;0;0
unknown;51.415688;18.886592;0;0;4.44400345;8.927056231;43.6686233;6.341228914;19.09285099;0;14.68915432;0.258739124;0;2.578343676;0;0;0;1.017262724;2.970791527;1.799106994;37.85385774;17.37446111;7.908955663;0;12.49224138;3.884528764;0;14.6987941;0;0;0;1.087572034;21.95883915;0.042474623;3.209222504;17.5468368;14.27142726;0;28.03794802;8.051480142;0;5.794199469;0;0;0;2.296354975;25.54845734;0.943769014;43.90557424;13.19704002;0;0;8.769373884;2.859314524;0;2.480116001;0;0
