ID;site;region;origin;frequency_A;total_A;percentage_site_A;sites_A;percentage_in_all_A;frequency_B;total_B;percentage_site_B;sites_B;percentage_in_all_B;frequency_C;total_C;percentage_site_C;sites_C;percentage_in_all_C;frequency_D;total_D;percentage_site_D;sites_D;percentage_in_all_D
0;Aquileia;Adria;Italy;1.97;1526.61;0.129044091;26;0.004963234;1.7;1526.34;0.111377544;29;0.003840605;36.14;1812;1.994481236;29;0.068775215;0.25;197.3;0.126710593;22;0.005759572
1;Aquileia;Adria;Baetica;0;1526.61;0;26;0;0;1526.34;0;29;0;0;1812;0;29;0;0;197.3;0;22;0
2;Aquileia;Adria;Tarraconensis;0;1526.61;0;26;0;0;1526.34;0;29;0;0;1812;0;29;0;0;197.3;0;22;0
3;Aquileia;Adria;North Africa;15.15;1526.61;0.992394914;26;0.038169035;15.15;1526.34;0.992570463;29;0.034226568;0;1812;0;29;0;15.93;197.3;8.073998986;22;0.366999954
4;Aquileia;Adria;Iberian Peninsula;0.6;1526.61;0.039302769;26;0.001511645;0.6;1526.34;0.039309721;29;0.001355508;36.14;1812;1.994481236;29;0.068775215;0.25;197.3;0.126710593;22;0.005759572
5;Aquileia;Adria;Aegean;0;1526.61;0;26;0;0;1526.34;0;29;0;0;1812;0;29;0;0;197.3;0;22;0
6;Aquileia;Adria;Western Mediterranean;0;1526.61;0;26;0;0;1526.34;0;29;0;0;1812;0;29;0;0;197.3;0;22;0
7;Aquileia;Adria;Eastern Mediterranean;15.49;1526.61;1.014666483;26;0.039025634;15.49;1526.34;1.014845971;29;0.034994689;77.28;1812;4.264900662;29;0.14706554;23.77;197.3;12.04764318;22;0.547620145
8;Aquileia;Adria;unknown;8.22;1526.61;0.538447934;26;0.020709536;8.22;1526.34;0.538543182;29;0.018570455;198.77;1812;10.9696468;29;0.378263683;13.97;197.3;7.080587937;22;0.321844906
9;Aquileia;Adria;Pontic Sea;0;1526.61;0;26;0;0;1526.34;0;29;0;0;1812;0;29;0;0;197.3;0;22;0
10;Aquileia;Adria;Egypt;0;1526.61;0;26;0;0;1526.34;0;29;0;0;1812;0;29;0;0;197.3;0;22;0
11;Aquileia;Adria;Gallia;0;1526.61;0;26;0;0;1526.34;0;29;0;0;1812;0;29;0;0;197.3;0;22;0
12;Aquileia;Adria;Adria;1485.18;1526.61;97.28614381;26;3.741774762;1485.18;1526.34;97.30335312;29;3.355288039;1463.67;1812;80.77649007;29;2.785396209;143.13;197.3;72.54434871;22;3.297470396
13;Butrint;Adria;Italy;0;0;0;26;0;0.5;2.5;20;29;0.689655172;2.5;12.5;20;29;0.689655172;3;9;33.33333333;22;1.515151515
14;Butrint;Adria;Baetica;0;0;0;26;0;0.5;2.5;20;29;0.689655172;0.5;12.5;4;29;0.137931034;0;9;0;22;0
15;Butrint;Adria;Tarraconensis;0;0;0;26;0;0;2.5;0;29;0;0;12.5;0;29;0;0;9;0;22;0
16;Butrint;Adria;North Africa;0;0;0;26;0;0;2.5;0;29;0;0.5;12.5;4;29;0.137931034;0.5;9;5.555555556;22;0.252525253
17;Butrint;Adria;Iberian Peninsula;0;0;0;26;0;0;2.5;0;29;0;0;12.5;0;29;0;0;9;0;22;0
18;Butrint;Adria;Aegean;0;0;0;26;0;1;2.5;40;29;1.379310345;4;12.5;32;29;1.103448276;3;9;33.33333333;22;1.515151515
19;Butrint;Adria;Western Mediterranean;0;0;0;26;0;0;2.5;0;29;0;0;12.5;0;29;0;0;9;0;22;0
20;Butrint;Adria;Eastern Mediterranean;0;0;0;26;0;0;2.5;0;29;0;0.5;12.5;4;29;0.137931034;0.5;9;5.555555556;22;0.252525253
21;Butrint;Adria;unknown;0;0;0;26;0;0;2.5;0;29;0;4;12.5;32;29;1.103448276;2;9;22.22222222;22;1.01010101
22;Butrint;Adria;Pontic Sea;0;0;0;26;0;0;2.5;0;29;0;0;12.5;0;29;0;0;9;0;22;0
23;Butrint;Adria;Egypt;0;0;0;26;0;0;2.5;0;29;0;0;12.5;0;29;0;0;9;0;22;0
24;Butrint;Adria;Gallia;0;0;0;26;0;0;2.5;0;29;0;0;12.5;0;29;0;0;9;0;22;0
25;Butrint;Adria;Adria;0;0;0;26;0;0.5;2.5;20;29;0.689655172;0.5;12.5;4;29;0.137931034;0;9;0;22;0
26;Ephesos;Aegean;Italy;42.2;123.8333;34.07807108;26;1.310695042;47.7;78.4332;60.81608299;29;2.09710631;2.85;10.2832;27.71510814;29;0.955693384;0.35;7.6998;4.545572612;22;0.206616937
27;Ephesos;Aegean;Baetica;0;123.8333;0;26;0;0;78.4332;0;29;0;0;10.2832;0;29;0;0;7.6998;0;22;0
28;Ephesos;Aegean;Tarraconensis;0;123.8333;0;26;0;0;78.4332;0;29;0;0;10.2832;0;29;0;0;7.6998;0;22;0
29;Ephesos;Aegean;North Africa;3.1;123.8333;2.503365411;26;0.096283285;2.6;78.4332;3.314922762;29;0.114307681;0.1;10.2832;0.972459935;29;0.033533101;0.1;7.6998;1.298735032;22;0.059033411
30;Ephesos;Aegean;Iberian Peninsula;6;123.8333;4.845223377;26;0.186354745;11.5666;78.4332;14.74707139;29;0.508519703;0.5666;10.2832;5.50995799;29;0.189998551;0.5666;7.6998;7.358632692;22;0.334483304
31;Ephesos;Aegean;Aegean;67.0333;123.8333;54.13188537;26;2.081995591;7.4666;78.4332;9.519693191;29;0.328265282;6.0166;10.2832;58.50902443;29;2.017552566;4.6832;7.6998;60.82235902;22;2.764652683
32;Ephesos;Aegean;Western Mediterranean;0;123.8333;0;26;0;0;78.4332;0;29;0;0;10.2832;0;29;0;0;7.6998;0;22;0
33;Ephesos;Aegean;Eastern Mediterranean;5;123.8333;4.037686147;26;0.155295621;6;78.4332;7.649821759;29;0.263786957;0.15;10.2832;1.458689902;29;0.050299652;0.15;7.6998;1.948102548;22;0.088550116
34;Ephesos;Aegean;unknown;0;123.8333;0;26;0;0;78.4332;0;29;0;0;10.2832;0;29;0;0;7.6998;0;22;0
35;Ephesos;Aegean;Pontic Sea;0;123.8333;0;26;0;0.4;78.4332;0.509988117;29;0.017585797;0.4;10.2832;3.889839739;29;0.134132405;1.65;7.6998;21.42912803;22;0.974051274
36;Ephesos;Aegean;Egypt;0.5;123.8333;0.403768615;26;0.015529562;2.6;78.4332;3.314922762;29;0.114307681;0.1;10.2832;0.972459935;29;0.033533101;0.1;7.6998;1.298735032;22;0.059033411
37;Ephesos;Aegean;Gallia;0;123.8333;0;26;0;0.1;78.4332;0.127497029;29;0.004396449;0.1;10.2832;0.972459935;29;0.033533101;0.1;7.6998;1.298735032;22;0.059033411
38;Ephesos;Aegean;Adria;0;123.8333;0;26;0;0;78.4332;0;29;0;0;10.2832;0;29;0;0;7.6998;0;22;0
39;Baelo Claudia;Baetica;Italy;16;65;24.61538462;26;0.946745562;15;42.5;35.29411765;29;1.21703854;1;6;16.66666667;29;0.574712644;0.2;1.5;13.33333333;22;0.606060606
40;Baelo Claudia;Baetica;Baetica;13.5;65;20.76923077;26;0.798816568;7;42.5;16.47058824;29;0.567951318;3;6;50;29;1.724137931;0.8;1.5;53.33333333;22;2.424242424
41;Baelo Claudia;Baetica;Tarraconensis;0;65;0;26;0;0;42.5;0;29;0;0;6;0;29;0;0;1.5;0;22;0
42;Baelo Claudia;Baetica;North Africa;0;65;0;26;0;0;42.5;0;29;0;0;6;0;29;0;0;1.5;0;22;0
43;Baelo Claudia;Baetica;Iberian Peninsula;0;65;0;26;0;0;42.5;0;29;0;0;6;0;29;0;0;1.5;0;22;0
44;Baelo Claudia;Baetica;Aegean;0;65;0;26;0;0;42.5;0;29;0;0;6;0;29;0;0;1.5;0;22;0
45;Baelo Claudia;Baetica;Western Mediterranean;24.5;65;37.69230769;26;1.449704142;13.5;42.5;31.76470588;29;1.095334686;2;6;33.33333333;29;1.149425287;0;1.5;0;22;0
46;Baelo Claudia;Baetica;Eastern Mediterranean;0;65;0;26;0;0;42.5;0;29;0;0;6;0;29;0;0;1.5;0;22;0
47;Baelo Claudia;Baetica;unknown;11;65;16.92307692;26;0.650887574;7;42.5;16.47058824;29;0.567951318;0;6;0;29;0;0.5;1.5;33.33333333;22;1.515151515
48;Baelo Claudia;Baetica;Pontic Sea;0;65;0;26;0;0;42.5;0;29;0;0;6;0;29;0;0;1.5;0;22;0
49;Baelo Claudia;Baetica;Egypt;0;65;0;26;0;0;42.5;0;29;0;0;6;0;29;0;0;1.5;0;22;0
50;Baelo Claudia;Baetica;Gallia;0;65;0;26;0;0;42.5;0;29;0;0;6;0;29;0;0;1.5;0;22;0
51;Baelo Claudia;Baetica;Adria;0;65;0;26;0;0;42.5;0;29;0;0;6;0;29;0;0;1.5;0;22;0
