ID;site;region;origin;frequency_A;total_A;percentage_site_A;sites_in_region_A;percentage_in_region_A;sites_A;percentage_in_all_A;frequency_B;total_B;percentage_site_B;sites_in_region_B;percentage_in_region_B;sites_B;percentage_in_all_B;frequency_C;total_C;percentage_site_C;sites_in_region_C;percentage_in_region_C;sites_C;percentage_in_all_C;frequency_D;total_D;percentage_site_D;sites_in_region_D;percentage_in_region_D;sites_D;percentage_in_all_D;
0;Aquileia;Adria;Italy;1.97;1526.61;0.129044091;2;0.064522046;26;0.004963234;1.7;1526.34;0.111377544;2;0.055688772;29;0.003840605;36.14;1812;1.994481236;2;0.997240618;29;0.068775215;0.25;197.3;0.126710593;2;0.063355297;22;0.005759572;
1;Aquileia;Adria;Baetica;0;1526.61;0;2;0;26;0;0;1526.34;0;2;0;29;0;0;1812;0;2;0;29;0;0;197.3;0;2;0;22;0;
2;Aquileia;Adria;Tarraconensis;0;1526.61;0;2;0;26;0;0;1526.34;0;2;0;29;0;0;1812;0;2;0;29;0;0;197.3;0;2;0;22;0;
3;Aquileia;Adria;North Africa;15.15;1526.61;0.992394914;2;0.496197457;26;0.038169035;15.15;1526.34;0.992570463;2;0.496285231;29;0.034226568;0;1812;0;2;0;29;0;15.93;197.3;8.073998986;2;4.036999493;22;0.366999954;
4;Aquileia;Adria;Iberian Peninsula;0.6;1526.61;0.039302769;2;0.019651384;26;0.001511645;0.6;1526.34;0.039309721;2;0.019654861;29;0.001355508;36.14;1812;1.994481236;2;0.997240618;29;0.068775215;0.25;197.3;0.126710593;2;0.063355297;22;0.005759572;
5;Aquileia;Adria;Aegean;0;1526.61;0;2;0;26;0;0;1526.34;0;2;0;29;0;0;1812;0;2;0;29;0;0;197.3;0;2;0;22;0;
6;Aquileia;Adria;Western Mediterranean;0;1526.61;0;2;0;26;0;0;1526.34;0;2;0;29;0;0;1812;0;2;0;29;0;0;197.3;0;2;0;22;0;
7;Aquileia;Adria;Eastern Mediterranean;15.49;1526.61;1.014666483;2;0.507333242;26;0.039025634;15.49;1526.34;1.014845971;2;0.507422986;29;0.034994689;77.28;1812;4.264900662;2;2.132450331;29;0.14706554;23.77;197.3;12.04764318;2;6.023821591;22;0.547620145;
8;Aquileia;Adria;unknown;8.22;1526.61;0.538447934;2;0.269223967;26;0.020709536;8.22;1526.34;0.538543182;2;0.269271591;29;0.018570455;198.77;1812;10.9696468;2;5.4848234;29;0.378263683;13.97;197.3;7.080587937;2;3.540293969;22;0.321844906;
9;Aquileia;Adria;Pontic Sea;0;1526.61;0;2;0;26;0;0;1526.34;0;2;0;29;0;0;1812;0;2;0;29;0;0;197.3;0;2;0;22;0;
10;Aquileia;Adria;Egypt;0;1526.61;0;2;0;26;0;0;1526.34;0;2;0;29;0;0;1812;0;2;0;29;0;0;197.3;0;2;0;22;0;
11;Aquileia;Adria;Gallia;0;1526.61;0;2;0;26;0;0;1526.34;0;2;0;29;0;0;1812;0;2;0;29;0;0;197.3;0;2;0;22;0;
12;Aquileia;Adria;Adria;1485.18;1526.61;97.28614381;2;48.6430719;26;3.741774762;1485.18;1526.34;97.30335312;2;48.65167656;29;3.355288039;1463.67;1812;80.77649007;2;40.38824503;29;2.785396209;143.13;197.3;72.54434871;2;36.27217435;22;3.297470396;
13;Butrint;Adria;Italy;0;0;0;2;0;26;0;0.5;2.5;20;2;10;29;0.689655172;2.5;12.5;20;2;10;29;0.689655172;3;9;33.33333333;2;16.66666667;22;1.515151515;
14;Butrint;Adria;Baetica;0;0;0;2;0;26;0;0.5;2.5;20;2;10;29;0.689655172;0.5;12.5;4;2;2;29;0.137931034;0;9;0;2;0;22;0;
15;Butrint;Adria;Tarraconensis;0;0;0;2;0;26;0;0;2.5;0;2;0;29;0;0;12.5;0;2;0;29;0;0;9;0;2;0;22;0;
16;Butrint;Adria;North Africa;0;0;0;2;0;26;0;0;2.5;0;2;0;29;0;0.5;12.5;4;2;2;29;0.137931034;0.5;9;5.555555556;2;2.777777778;22;0.252525253;
17;Butrint;Adria;Iberian Peninsula;0;0;0;2;0;26;0;0;2.5;0;2;0;29;0;0;12.5;0;2;0;29;0;0;9;0;2;0;22;0;
18;Butrint;Adria;Aegean;0;0;0;2;0;26;0;1;2.5;40;2;20;29;1.379310345;4;12.5;32;2;16;29;1.103448276;3;9;33.33333333;2;16.66666667;22;1.515151515;
19;Butrint;Adria;Western Mediterranean;0;0;0;2;0;26;0;0;2.5;0;2;0;29;0;0;12.5;0;2;0;29;0;0;9;0;2;0;22;0;
20;Butrint;Adria;Eastern Mediterranean;0;0;0;2;0;26;0;0;2.5;0;2;0;29;0;0.5;12.5;4;2;2;29;0.137931034;0.5;9;5.555555556;2;2.777777778;22;0.252525253;
21;Butrint;Adria;unknown;0;0;0;2;0;26;0;0;2.5;0;2;0;29;0;4;12.5;32;2;16;29;1.103448276;2;9;22.22222222;2;11.11111111;22;1.01010101;
22;Butrint;Adria;Pontic Sea;0;0;0;2;0;26;0;0;2.5;0;2;0;29;0;0;12.5;0;2;0;29;0;0;9;0;2;0;22;0;
23;Butrint;Adria;Egypt;0;0;0;2;0;26;0;0;2.5;0;2;0;29;0;0;12.5;0;2;0;29;0;0;9;0;2;0;22;0;
24;Butrint;Adria;Gallia;0;0;0;2;0;26;0;0;2.5;0;2;0;29;0;0;12.5;0;2;0;29;0;0;9;0;2;0;22;0;
25;Butrint;Adria;Adria;0;0;0;2;0;26;0;0.5;2.5;20;2;10;29;0.689655172;0.5;12.5;4;2;2;29;0.137931034;0;9;0;2;0;22;0;
104;Pula;Adria;Italy;1286;1306;98.46860643;2;49.23430322;26;3.787254094;0;0;0;2;0;29;0;0;0;0;2;0;29;0;0;0;0;2;0;22;0;
105;Pula;Adria;Baetica;0;1306;0;2;0;26;0;0;0;0;2;0;29;0;0;0;0;2;0;29;0;0;0;0;2;0;22;0;
106;Pula;Adria;Tarraconensis;0;1306;0;2;0;26;0;0;0;0;2;0;29;0;0;0;0;2;0;29;0;0;0;0;2;0;22;0;
107;Pula;Adria;North Africa;0;1306;0;2;0;26;0;0;0;0;2;0;29;0;0;0;0;2;0;29;0;0;0;0;2;0;22;0;
108;Pula;Adria;Iberian Peninsula;0;1306;0;2;0;26;0;0;0;0;2;0;29;0;0;0;0;2;0;29;0;0;0;0;2;0;22;0;
109;Pula;Adria;Aegean;0;1306;0;2;0;26;0;0;0;0;2;0;29;0;0;0;0;2;0;29;0;0;0;0;2;0;22;0;
110;Pula;Adria;Western Mediterranean;0;1306;0;2;0;26;0;0;0;0;2;0;29;0;0;0;0;2;0;29;0;0;0;0;2;0;22;0;
111;Pula;Adria;Eastern Mediterranean;0;1306;0;2;0;26;0;0;0;0;2;0;29;0;0;0;0;2;0;29;0;0;0;0;2;0;22;0;
112;Pula;Adria;unknown;0;1306;0;2;0;26;0;0;0;0;2;0;29;0;0;0;0;2;0;29;0;0;0;0;2;0;22;0;
113;Pula;Adria;Pontic Sea;0;1306;0;2;0;26;0;0;0;0;2;0;29;0;0;0;0;2;0;29;0;0;0;0;2;0;22;0;
114;Pula;Adria;Egypt;0;1306;0;2;0;26;0;0;0;0;2;0;29;0;0;0;0;2;0;29;0;0;0;0;2;0;22;0;
115;Pula;Adria;Gallia;0;1306;0;2;0;26;0;0;0;0;2;0;29;0;0;0;0;2;0;29;0;0;0;0;2;0;22;0;
116;Pula;Adria;Adria;20;1306;1.531393568;2;0.765696784;26;0.058899753;0;0;0;2;0;29;0;0;0;0;2;0;29;0;0;0;0;2;0;22;0;
26;Ephesos;Aegean;Italy;42.2;123.8333;34.07807108;3;11.35935703;26;1.310695042;47.7;78.4332;60.81608299;3;20.27202766;29;2.09710631;2.85;10.2832;27.71510814;3;9.238369379;29;0.955693384;0.35;7.6998;4.545572612;3;1.515190871;22;0.206616937;
27;Ephesos;Aegean;Baetica;0;123.8333;0;3;0;26;0;0;78.4332;0;3;0;29;0;0;10.2832;0;3;0;29;0;0;7.6998;0;3;0;22;0;
28;Ephesos;Aegean;Tarraconensis;0;123.8333;0;3;0;26;0;0;78.4332;0;3;0;29;0;0;10.2832;0;3;0;29;0;0;7.6998;0;3;0;22;0;
29;Ephesos;Aegean;North Africa;3.1;123.8333;2.503365411;3;0.834455137;26;0.096283285;2.6;78.4332;3.314922762;3;1.104974254;29;0.114307681;0.1;10.2832;0.972459935;3;0.324153312;29;0.033533101;0.1;7.6998;1.298735032;3;0.432911677;22;0.059033411;
30;Ephesos;Aegean;Iberian Peninsula;6;123.8333;4.845223377;3;1.615074459;26;0.186354745;11.5666;78.4332;14.74707139;3;4.915690464;29;0.508519703;0.5666;10.2832;5.50995799;3;1.836652663;29;0.189998551;0.5666;7.6998;7.358632692;3;2.452877564;22;0.334483304;
31;Ephesos;Aegean;Aegean;67.0333;123.8333;54.13188537;3;18.04396179;26;2.081995591;7.4666;78.4332;9.519693191;3;3.173231064;29;0.328265282;6.0166;10.2832;58.50902443;3;19.50300814;29;2.017552566;4.6832;7.6998;60.82235902;3;20.27411967;22;2.764652683;
32;Ephesos;Aegean;Western Mediterranean;0;123.8333;0;3;0;26;0;0;78.4332;0;3;0;29;0;0;10.2832;0;3;0;29;0;0;7.6998;0;3;0;22;0;
