ID;site;region;origin;frequency_A;total_A;percentage_site_A;sites_A;percentage_in_all_A;frequency_B;total_B;percentage_site_B;sites_B;percentage_in_all_B;frequency_C;total_C;percentage_site_C;sites_C;percentage_in_all_C;frequency_D;total_D;percentage_site_D;sites_D;percentage_in_all_D
0;Aquileia;Adria;Italy;1.97;41.43;4.755008448;25;0.190200338;1.7;41.16;4.130223518;29;0.142421501;36.14;348.33;10.3752189;28;0.370543532;0.25;54.17;0.461510061;22;0.02097773
1;Aquileia;Adria;Baetica;0;41.43;0;25;0;0;41.16;0;29;0;0;348.33;0;28;0;0;54.17;0;22;0
2;Aquileia;Adria;Tarraconensis;0;41.43;0;25;0;0;41.16;0;29;0;0;348.33;0;28;0;0;54.17;0;22;0
3;Aquileia;Adria;North Africa;15.15;41.43;36.56770456;25;1.462708182;15.15;41.16;36.80758017;29;1.269226903;0;348.33;0;28;0;15.93;54.17;29.40742108;22;1.336700958
4;Aquileia;Adria;Iberian Peninsula;0.6;41.43;1.448225923;25;0.057929037;0.6;41.16;1.457725948;29;0.050266412;36.14;348.33;10.3752189;28;0.370543532;0.25;54.17;0.461510061;22;0.02097773
5;Aquileia;Adria;Aegean;0;41.43;0;25;0;0;41.16;0;29;0;0;348.33;0;28;0;0;54.17;0;22;0
6;Aquileia;Adria;Western Mediterranean;0;41.43;0;25;0;0;41.16;0;29;0;0;348.33;0;28;0;0;54.17;0;22;0
7;Aquileia;Adria;Eastern Mediterranean;15.49;41.43;37.38836592;25;1.495534637;15.49;41.16;37.63362488;29;1.297711203;77.28;348.33;22.18585824;28;0.79235208;23.77;54.17;43.88037659;22;1.994562572
8;Aquileia;Adria;unknown;8.22;41.43;19.84069515;25;0.793627806;8.22;41.16;19.97084548;29;0.688649844;198.77;348.33;57.06370396;28;2.037989427;13.97;54.17;25.7891822;22;1.172235555
9;Aquileia;Adria;Pontic Sea;0;41.43;0;25;0;0;41.16;0;29;0;0;348.33;0;28;0;0;54.17;0;22;0
10;Aquileia;Adria;Egypt;0;41.43;0;25;0;0;41.16;0;29;0;0;348.33;0;28;0;0;54.17;0;22;0
11;Aquileia;Adria;Gallia;0;41.43;0;25;0;0;41.16;0;29;0;0;348.33;0;28;0;0;54.17;0;22;0
13;Butrint;Adria;Italy;0;0;0;25;0;0.5;2.5;20;29;0.689655172;2.5;12;20.83333333;28;0.744047619;3;9;33.33333333;22;1.515151515
14;Butrint;Adria;Baetica;0;0;0;25;0;0.5;2.5;20;29;0.689655172;0.5;12;4.166666667;28;0.148809524;0;9;0;22;0
15;Butrint;Adria;Tarraconensis;0;0;0;25;0;0;2.5;0;29;0;0;12;0;28;0;0;9;0;22;0
16;Butrint;Adria;North Africa;0;0;0;25;0;0;2.5;0;29;0;0.5;12;4.166666667;28;0.148809524;0.5;9;5.555555556;22;0.252525253
17;Butrint;Adria;Iberian Peninsula;0;0;0;25;0;0;2.5;0;29;0;0;12;0;28;0;0;9;0;22;0
