ID;site;region;origin;frequency_A;total_A;percentage_site_A;sites_A;percentage_in_all_A;rounded_A;frequency_B;total_B;percentage_site_B;sites_B;percentage_in_all_B;rounded_B;frequency_C;total_C;percentage_site_C;sites_C;percentage_in_all_C;rounded_C;frequency_D;total_D;percentage_site_D;sites_D;percentage_in_all_D;rounded_D;;frequency_all;total_all;percenage_site_all;sites_all;percentage_all_all;percentage_all_all_rounded
0;Aquileia;Adria;Italy;1.97;41.43;4.755008448;25;0.190200338;0.2;1.7;41.16;4.130223518;29;0.142421501;0.1;36.14;348.33;10.3752189;28;0.370543532;0.4;0.25;54.17;0.461510061;22;0.02097773;0;;40.06;485.09;8.258261354;35;0.235950324;0.2
1;Aquileia;Adria;Baetica;0;41.43;0;25;0;0;0;41.16;0;29;0;0;0;348.33;0;28;0;0;0;54.17;0;22;0;0;;0;485.09;0;35;0;0
2;Aquileia;Adria;Tarraconensis;0;41.43;0;25;0;0;0;41.16;0;29;0;0;0;348.33;0;28;0;0;0;54.17;0;22;0;0;;0;485.09;0;35;0;0
3;Aquileia;Adria;North Africa;15.15;41.43;36.56770456;25;1.462708182;1.5;15.15;41.16;36.80758017;29;1.269226903;1.3;0;348.33;0;28;0;0;15.93;54.17;29.40742108;22;1.336700958;1.3;;46.23;485.09;9.530190274;35;0.272291151;0.3
4;Aquileia;Adria;Iberian Peninsula;0.6;41.43;1.448225923;25;0.057929037;0.1;0.6;41.16;1.457725948;29;0.050266412;0.1;36.14;348.33;10.3752189;28;0.370543532;0.4;0.25;54.17;0.461510061;22;0.02097773;0;;37.59;485.09;7.749077491;35;0.221402214;0.2
5;Aquileia;Adria;Aegean;0;41.43;0;25;0;0;0;41.16;0;29;0;0;0;348.33;0;28;0;0;0;54.17;0;22;0;0;;0;485.09;0;35;0;0
6;Aquileia;Adria;Western Mediterranean;0;41.43;0;25;0;0;0;41.16;0;29;0;0;0;348.33;0;28;0;0;0;54.17;0;22;0;0;;0;485.09;0;35;0;0
7;Aquileia;Adria;Eastern Mediterranean;15.49;41.43;37.38836592;25;1.495534637;1.5;15.49;41.16;37.63362488;29;1.297711203;1.3;77.28;348.33;22.18585824;28;0.79235208;0.8;23.77;54.17;43.88037659;22;1.994562572;2;;132.03;485.09;27.21762972;35;0.777646563;0.8
8;Aquileia;Adria;unknown;8.22;41.43;19.84069515;25;0.793627806;0.8;8.22;41.16;19.97084548;29;0.688649844;0.7;198.77;348.33;57.06370396;28;2.037989427;2;13.97;54.17;25.7891822;22;1.172235555;1.2;;229.18;485.09;47.24484116;35;1.349852605;1.3
9;Aquileia;Adria;Pontic Sea;0;41.43;0;25;0;0;0;41.16;0;29;0;0;0;348.33;0;28;0;0;0;54.17;0;22;0;0;;0;485.09;0;35;0;0
