ID	Site_name	region	origin	frequency_A	total_A	percentage_in_site_A	sites_in_region_A	percentage_in_region_A	sites_A	percentage_all_A	frequency_B	total_B	percentage_site_B	sites_in_region_B	percentage_in_region_B	sites_B	percentage_in_all_B	frequency_C	total_C	percentage_site_C	sites_in_region_C	percentage_in_region_C	sites_C	percentage_all_C	frequency_D	total_D	percentage_site_D	sites_in_region_D	percentage_in_region_D	sites_D	percentage_all_D
0	Adria	Adria	Italy	923.333	924.583	99.86480392	4	24.96620098	29	3.443613928	791.8333	798.5833	99.15475317	4	24.78868829	35	2.832992948	55.333	58.333	94.85711347	4	23.71427837	33	2.874457984	0	0.5	0	4	0	24	0
1	Adria	Adria	Gallia	0	924.583	0	4	0	29	0	2	798.5833	0.250443504	4	0.062610876	35	0.007155529	1	58.333	1.71429551	4	0.428573878	33	0.051948349	0	0.5	0	4	0	24	0
2	Adria	Adria	Eastern Mediterranean	1	924.583	0.108156866	4	0.027039217	29	0.003729547	2.5	798.5833	0.31305438	4	0.078263595	35	0.008944411	2	58.333	3.428591021	4	0.857147755	33	0.103896698	0	0.5	0	4	0	24	0
3	Adria	Adria	North Africa	0	924.583	0	4	0	29	0	0	798.5833	0	4	0	35	0	0	58.333	0	4	0	33	0	0	0.5	0	4	0	24	0
4	Adria	Adria	unknown	0	924.583	0	4	0	29	0	2	798.5833	0.250443504	4	0.062610876	35	0.007155529	0	58.333	0	4	0	33	0	0	0.5	0	4	0	24	0
5	Adria	Adria	Aegean	0.25	924.583	0.027039217	4	0.006759804	29	0.000932387	0.25	798.5833	0.031305438	4	0.00782636	35	0.000894441	0	58.333	0	4	0	33	0	0	0.5	0	4	0	24	0
6	Adria	Adria	Western Mediterranean	0	924.583	0	4	0	29	0	0	798.5833	0	4	0	35	0	0	58.333	0	4	0	33	0	0	0.5	0	4	0	24	0
7	Adria	Adria	Pontic Sea	0	924.583	0	4	0	29	0	0	798.5833	0	4	0	35	0	0	58.333	0	4	0	33	0	0.5	0.5	100	4	25	24	4.166666667
8	Adria	Adria	Adria	0	924.583	0	4	0	29	0	0	798.5833	0	4	0	35	0	0	58.333	0	4	0	33	0	0	0.5	0	4	0	24	0
9	Adria	Adria	Egypt	0	924.583	0	4	0	29	0	0	798.5833	0	4	0	35	0	0	58.333	0	4	0	33	0	0	0.5	0	4	0	24	0
10	Adria	Adria	Iberian Peninsula	0	924.583	0	4	0	29	0	0	798.5833	0	4	0	35	0	0	58.333	0	4	0	33	0	0	0.5	0	4	0	24	0
11	Aquileia	Adria	Italy	62.5	417.75	14.96110114	4	3.740275285	29	0.515900039	270	625.25	43.18272691	4	10.79568173	35	1.233792197	270	734.75	36.74719292	4	9.18679823	33	1.113551301	6.25	23.75	26.31578947	4	6.578947368	24	1.096491228
12	Aquileia	Adria	Gallia	0	417.75	0	4	0	29	0	0	625.25	0	4	0	35	0	0	734.75	0	4	0	33	0	0	23.75	0	4	0	24	0
13	Aquileia	Adria	Eastern Mediterranean	1.875	417.75	0.448833034	4	0.112208259	29	0.015477001	1.875	625.25	0.299880048	4	0.074970012	35	0.008568001	1.75	734.75	0.23817625	4	0.059544063	33	0.007217462	0	23.75	0	4	0	24	0
14	Aquileia	Adria	North Africa	0	417.75	0	4	0	29	0	0	625.25	0	4	0	35	0	0	734.75	0	4	0	33	0	0	23.75	0	4	0	24	0
15	Aquileia	Adria	unknown	0	417.75	0	4	0	29	0	0	625.25	0	4	0	35	0	0	734.75	0	4	0	33	0	0	23.75	0	4	0	24	0
16	Aquileia	Adria	Aegean	3.375	417.75	0.807899461	4	0.201974865	29	0.027858602	3.375	625.25	0.539784086	4	0.134946022	35	0.015422402	3	734.75	0.408302144	4	0.102075536	33	0.012372792	0	23.75	0	4	0	24	0
17	Aquileia	Adria	Western Mediterranean	0	417.75	0	4	0	29	0	0	625.25	0	4	0	35	0	0	734.75	0	4	0	33	0	0	23.75	0	4	0	24	0
18	Aquileia	Adria	Pontic Sea	0	417.75	0	4	0	29	0	0	625.25	0	4	0	35	0	0	734.75	0	4	0	33	0	0	23.75	0	4	0	24	0
19	Aquileia	Adria	Adria	350	417.75	83.78216637	4	20.94554159	29	2.88904022	350	625.25	55.97760896	4	13.99440224	35	1.599360256	460	734.75	62.60632868	4	15.65158217	33	1.897161475	17.5	23.75	73.68421053	4	18.42105263	24	3.070175439
20	Aquileia	Adria	Egypt	0	417.75	0	4	0	29	0	0	625.25	0	4	0	35	0	0	734.75	0	4	0	33	0	0	23.75	0	4	0	24	0
21	Aquileia	Adria	Iberian Peninsula	0	417.75	0	4	0	29	0	0	625.25	0	4	0	35	0	0	734.75	0	4	0	33	0	0	23.75	0	4	0	24	0
22	Butrint	Adria	Italy	0	0.5	0	4	0	29	0	7.5	16.6666	45.00018	4	11.250045	35	1.285719429	6.5	41.1666	15.78949925	4	3.947374813	33	0.478469674	0	19.1666	0	4	0	24	0
23	Butrint	Adria	Gallia	0	0.5	0	4	0	29	0	0	16.6666	0	4	0	35	0	0	41.1666	0	4	0	33	0	0	19.1666	0	4	0	24	0
24	Butrint	Adria	Eastern Mediterranean	0	0.5	0	4	0	29	0	0	16.6666	0	4	0	35	0	0	41.1666	0	4	0	33	0	0	19.1666	0	4	0	24	0
25	Butrint	Adria	North Africa	0	0.5	0	4	0	29	0	0	16.6666	0	4	0	35	0	1	41.1666	2.429153731	4	0.607288433	33	0.073610719	0	19.1666	0	4	0	24	0
26	Butrint	Adria	unknown	0	0.5	0	4	0	29	0	0.5	16.6666	3.000012	4	0.750003	35	0.085714629	0.5	41.1666	1.214576866	4	0.303644217	33	0.03680536	0	19.1666	0	4	0	24	0
27	Butrint	Adria	Aegean	0.5	0.5	100	4	25	29	3.448275862	2	16.6666	12.000048	4	3.000012	35	0.342858514	10	41.1666	24.29153731	4	6.072884328	33	0.736107191	7.5	19.1666	39.13057089	4	9.782642723	24	1.630440454
