ID;Site_name;region;origin;frequency_A;total_A;percentage_in_site_A;sites_in_region_A;percentage_in_region_A;sites_A;percentage_all_A;rounded_A;frequency_B;total_B;percentage_site_B;sites_in_region_B;percentage_in_region_B;sites_B;percentage_in_all_B;rounded_B;frequency_C;total_C;percentage_site_C;sites_in_region_C;percentage_in_region_C;sites_C;percentage_all_C;rounded_C;frequency_D;total_D;percentage_site_D;sites_in_region_D;percentage_in_region_D;sites_D;percentage_all_D;rounded_D;;frequency_all;total_all;percentage_all;sites_all;percentage_all_all;percentage_all_all_rounded
0;Adria;Adria;Italy;923.333;924.583;99.86480392;4;24.96620098;31;3.221445288;3.2;791.8333;798.5833;99.15475317;4;24.78868829;35;2.832992948;2.8;55.333;58.333;94.85711347;4;23.71427837;33;2.874457984;2.9;0;0.5;0;4;0;24;0;0;;1770.4993;1781.9993;99.35465743;40;2.483866436;2.5
1;Adria;Adria;Gallia;0;924.583;0;4;0;31;0;0;2;798.5833;0.250443504;4;0.062610876;35;0.007155529;0;1;58.333;1.71429551;4;0.428573878;33;0.051948349;0.1;0;0.5;0;4;0;24;0;0;;3;1781.9993;0.168350234;40;0.004208756;0
2;Adria;Adria;Eastern Mediterranean;1;924.583;0.108156866;4;0.027039217;31;0.003488931;0;2.5;798.5833;0.31305438;4;0.078263595;35;0.008944411;0;2;58.333;3.428591021;4;0.857147755;33;0.103896698;0.1;0;0.5;0;4;0;24;0;0;;5.5;1781.9993;0.308642097;40;0.007716052;0
3;Adria;Adria;North Africa;0;924.583;0;4;0;31;0;0;0;798.5833;0;4;0;35;0;0;0;58.333;0;4;0;33;0;0;0;0.5;0;4;0;24;0;0;;0;1781.9993;0;40;0;0
4;Adria;Adria;unknown;0;924.583;0;4;0;31;0;0;2;798.5833;0.250443504;4;0.062610876;35;0.007155529;0;0;58.333;0;4;0;33;0;0;0;0.5;0;4;0;24;0;0;;2;1781.9993;0.11223349;40;0.002805837;0
5;Adria;Adria;Aegean;0.25;924.583;0.027039217;4;0.006759804;31;0.000872233;0;0.25;798.5833;0.031305438;4;0.00782636;35;0.000894441;0;0;58.333;0;4;0;33;0;0;0;0.5;0;4;0;24;0;0;;0.5;1781.9993;0.028058372;40;0.000701459;0
6;Adria;Adria;Western Mediterranean;0;924.583;0;4;0;31;0;0;0;798.5833;0;4;0;35;0;0;0;58.333;0;4;0;33;0;0;0;0.5;0;4;0;24;0;0;;0;1781.9993;0;40;0;0
7;Adria;Adria;Pontic Sea;0;924.583;0;4;0;31;0;0;0;798.5833;0;4;0;35;0;0;0;58.333;0;4;0;33;0;0;0.5;0.5;100;4;25;24;4.166666667;4.2;;0.5;1781.9993;0.028058372;40;0.000701459;0
8;Adria;Adria;Adria;0;924.583;0;4;0;31;0;0;0;798.5833;0;4;0;35;0;0;0;58.333;0;4;0;33;0;0;0;0.5;0;4;0;24;0;0;;0;1781.9993;0;40;0;0
9;Adria;Adria;Egypt;0;924.583;0;4;0;31;0;0;0;798.5833;0;4;0;35;0;0;0;58.333;0;4;0;33;0;0;0;0.5;0;4;0;24;0;0;;0;1781.9993;0;40;0;0
10;Adria;Adria;Iberian Peninsula;0;924.583;0;4;0;31;0;0;0;798.5833;0;4;0;35;0;0;0;58.333;0;4;0;33;0;0;0;0.5;0;4;0;24;0;0;;0;1781.9993;0;40;0;0
11;Aquileia;Adria;Italy;62.5;417.75;14.96110114;4;3.740275284;31;0.482616166;0.5;62.5;417.75;14.96110114;4;3.740275284;35;0.427460032;0.4;270;734.75;36.74719292;4;9.186798231;33;1.113551301;1.1;6.25;23.75;26.31578947;4;6.578947368;24;1.096491228;1.1;;401.25;1594;25.17252196;40;0.629313049;0.6
12;Aquileia;Adria;Gallia;0;417.75;0;4;0;31;0;0;0;417.75;0;4;0;35;0;0;0;734.75;0;4;0;33;0;0;0;23.75;0;4;0;25;0;0;;0;1594;0;40;0;0
13;Aquileia;Adria;Eastern Mediterranean;1.875;417.75;0.448833034;4;0.112208259;31;0.014478485;0;1.875;417.75;0.448833034;4;0.112208259;35;0.012823801;0;1.75;734.75;0.23817625;4;0.059544063;33;0.007217462;0;0;23.75;0;4;0;25;0;0;;5.5;1594;0.345043915;40;0.008626098;0
14;Aquileia;Adria;North Africa;0;417.75;0;4;0;31;0;0;0;417.75;0;4;0;35;0;0;0;734.75;0;4;0;33;0;0;0;23.75;0;4;0;25;0;0;;0;1594;0;40;0;0
15;Aquileia;Adria;unknown;0;417.75;0;4;0;31;0;0;0;417.75;0;4;0;35;0;0;0;734.75;0;4;0;33;0;0;0;23.75;0;4;0;25;0;0;;0;1594;0;40;0;0
16;Aquileia;Adria;Aegean;3.375;417.75;0.807899461;4;0.201974865;31;0.026061273;0;3.375;417.75;0.807899461;4;0.201974865;35;0.023082842;0;3;734.75;0.408302144;4;0.102075536;33;0.012372792;0;0;23.75;0;4;0;25;0;0;;9.75;1594;0.611668758;40;0.015291719;0
17;Aquileia;Adria;Western Mediterranean;0;417.75;0;4;0;31;0;0;0;417.75;0;4;0;35;0;0;0;734.75;0;4;0;33;0;0;0;23.75;0;4;0;25;0;0;;0;1594;0;40;0;0
18;Aquileia;Adria;Pontic Sea;0;417.75;0;4;0;31;0;0;0;417.75;0;4;0;35;0;0;0;734.75;0;4;0;33;0;0;0;23.75;0;4;0;25;0;0;;0;1594;0;40;0;0
19;Aquileia;Adria;Adria;350;417.75;83.78216637;4;20.94554159;31;2.702650528;2.7;350;417.75;83.78216637;4;20.94554159;35;2.393776182;2.4;460;734.75;62.60632868;4;15.65158217;33;1.897161475;1.9;17.5;23.75;73.68421053;4;18.42105263;25;2.947368421;2.9;;1177.5;1594;73.87076537;40;1.846769134;1.8
20;Aquileia;Adria;Egypt;0;417.75;0;4;0;31;0;0;0;417.75;0;4;0;35;0;0;0;734.75;0;4;0;33;0;0;0;23.75;0;4;0;25;0;0;;0;1594;0;40;0;0
21;Aquileia;Adria;Iberian Peninsula;0;417.75;0;4;0;31;0;0;0;417.75;0;4;0;35;0;0;0;734.75;0;4;0;33;0;0;0;23.75;0;4;0;25;0;0;;0;1594;0;40;0;0
22;Butrint;Adria;Italy;0;0.5;0;4;0;31;0;0;7.5;16.6666;45.00018;4;11.250045;35;1.285719429;1.3;6.5;24.6666;26.35142257;4;6.587855643;33;0.798527957;0.8;0;2.6666;0;4;0;25;0;0;;14;44.4998;31.46081555;40;0.786520389;0.8
23;Butrint;Adria;Gallia;0;0.5;0;4;0;31;0;0;0;16.6666;0;4;0;35;0;0;0;24.6666;0;4;0;33;0;0;0;2.6666;0;4;0;25;0;0;;0;44.4998;0;40;0;0
24;Butrint;Adria;Eastern Mediterranean;0;0.5;0;4;0;31;0;0;0;16.6666;0;4;0;35;0;0;0;24.6666;0;4;0;33;0;0;0;2.6666;0;4;0;25;0;0;;0;44.4998;0;40;0;0
25;Butrint;Adria;North Africa;0;0.5;0;4;0;31;0;0;0;16.6666;0;4;0;35;0;0;1;24.6666;4.054065011;4;1.013516253;33;0.122850455;0.1;0;2.6666;0;4;0;25;0;0;;1;44.4998;2.247201111;40;0.056180028;0.1
26;Butrint;Adria;unknown;0;0.5;0;4;0;31;0;0;0.5;16.6666;3.000012;4;0.750003;35;0.085714629;0.1;0.5;24.6666;2.027032505;4;0.506758126;33;0.061425227;0.1;0;2.6666;0;4;0;25;0;0;;1;44.4998;2.247201111;40;0.056180028;0.1
27;Butrint;Adria;Aegean;0.5;0.5;100;4;25;31;3.225806452;3.2;2;16.6666;12.000048;4;3.000012;35;0.342858514;0.3;4;24.6666;16.21626004;4;4.054065011;33;0.49140182;0.5;1.5;2.6666;56.25140629;4;14.06285157;25;2.250056251;2.3;;8;44.4998;17.97760889;40;0.449440222;0.4
28;Butrint;Adria;Western Mediterranean;0;0.5;0;4;0;31;0;0;0.1666;16.6666;0.999603998;4;0.249901;35;0.028560114;0;0.1666;24.6666;0.675407231;4;0.168851808;33;0.020466886;0;0.1666;2.6666;6.247656191;4;1.561914048;25;0.249906248;0.2;;0.4998;44.4998;1.123151115;40;0.028078778;0
29;Butrint;Adria;Pontic Sea;0;0.5;0;4;0;31;0;0;2;16.6666;12.000048;4;3.000012;35;0.342858514;0.3;2;24.6666;8.108130022;4;2.027032505;33;0.24570091;0.2;0;2.6666;0;4;0;25;0;0;;4;44.4998;8.988804444;40;0.224720111;0.2
30;Butrint;Adria;Adria;0;0.5;0;4;0;31;0;0;4.5;16.6666;27.000108;4;6.750027;35;0.771431657;0.8;10.5;24.6666;42.56768262;4;10.64192065;33;1.289929776;1.3;1;2.6666;37.50093752;4;9.375234381;25;1.500037501;1.5;;16;44.4998;35.95521778;40;0.898880444;0.9
31;Butrint;Adria;Egypt;0;0.5;0;4;0;31;0;0;0;16.6666;0;4;0;35;0;0;0;24.6666;0;4;0;33;0;0;0;2.6666;0;4;0;25;0;0;;0;44.4998;0;40;0;0
32;Butrint;Adria;Iberian Peninsula;0;0.5;0;4;0;31;0;0;0;16.6666;0;4;0;35;0;0;0;24.6666;0;4;0;33;0;0;0;2.6666;0;4;0;25;0;0;;0;44.4998;0;40;0;0
187;Krk;Adria;Italy;0.5;4;12.5;4;3.125;31;0.403225806;0.4;6;15.75;38.0952381;4;9.523809524;35;1.088435374;1.1;2.5;10.45;23.92344498;4;5.980861244;33;0.724952878;0.7;0;1.45;0;4;0;25;0;0;;9;31.65;28.43601896;40;0.710900474;0.7
188;Krk;Adria;Gallia;3.5;4;87.5;4;21.875;31;2.822580645;2.8;9.75;15.75;61.9047619;4;15.47619048;35;1.768707483;1.8;7.25;10.45;69.37799043;4;17.34449761;33;2.102363346;2.1;0.25;1.45;17.24137931;4;4.310344828;25;0.689655172;0.7;;20.75;31.65;65.56082148;40;1.639020537;1.6
189;Krk;Adria;Eastern Mediterranean;0;4;0;4;0;31;0;0;0;15.75;0;4;0;35;0;0;0;10.45;0;4;0;33;0;0;0;1.45;0;4;0;25;0;0;;0;31.65;0;40;0;0
190;Krk;Adria;North Africa;0;4;0;4;0;31;0;0;0;15.75;0;4;0;35;0;0;0;10.45;0;4;0;33;0;0;0;1.45;0;4;0;25;0;0;;0;31.65;0;40;0;0
191;Krk;Adria;unknown;0;4;0;4;0;31;0;0;0;15.75;0;4;0;35;0;0;0.2;10.45;1.913875598;4;0.4784689;33;0.05799623;0.1;0.2;1.45;13.79310345;4;3.448275862;25;0.551724138;0.6;;0.4;31.65;1.263823065;40;0.031595577;0
192;Krk;Adria;Aegean;0;4;0;4;0;31;0;0;0;15.75;0;4;0;35;0;0;0.5;10.45;4.784688995;4;1.196172249;33;0.144990576;0.1;0.5;1.45;34.48275862;4;8.620689655;25;1.379310345;1.4;;1;31.65;3.159557662;40;0.078988942;0.1
