ID;Site_name;region;origin;frequency_A;total_A;percentage_in_site_A;sites_in_region_A;percentage_in_region_A;sites_A;percentage_all_A;rounded_A;frequency_B;total_B;percentage_site_B;sites_in_region_B;percentage_in_region_B;sites_B;percentage_in_all_B;rounded_B;frequency_C;total_C;percentage_site_C;sites_in_region_C;percentage_in_region_C;sites_C;percentage_all_C;rounded_C;frequency_D;total_D;percentage_site_D;sites_in_region_D;percentage_in_region_D;sites_D;percentage_all_D;rounded_D;;frequency_all;total_all;percentage_all;sites_all;percentage_all_all;percentage_all_all_rounded
0;Adria;Adria;Italy;923.333;924.583;99.86480392;4;24.96620098;27;3.698696441;3.7;791.8333;798.5833;99.15475317;4;24.78868829;33;3.00468949;3;55.333;58.333;94.85711347;4;23.71427837;31;3.059906886;;0;0.5;0;4;0;24;0;0;;1770.4993;1781.9993;99.35465743;40;2.483866436;2.5
11;Aquileia;Adria;Italy;62.5;67.75;92.25092251;4;23.06273063;27;3.416700834;3.4;62.5;67.75;92.25092251;4;23.06273063;33;2.7954825;2.8;270;274.75;98.2711556;4;24.5677889;31;3.170037277;3.2;6.25;6.25;100;4;25;24;4.166666667;4.2;;401.25;416.5;96.33853541;40;2.408463385;2.4
16;Aquileia;Adria;Aegean;3.375;67.75;4.981549815;4;1.245387454;26;0.19159807;0.2;3.375;67.75;4.981549815;4;1.245387454;33;0.150956055;0.2;3;274.75;1.091901729;4;0.272975432;31;0.035222636;0;0;6.25;0;4;0;24;0;0;;9.75;416.5;2.340936375;40;0.058523409;0.1
22;Butrint;Adria;Italy;0;0.5;0;4;0;26;0;0;7.5;12.1666;61.64417339;4;15.41104335;33;1.868005254;1.9;6.5;14.1666;45.88256886;4;11.47064221;31;1.480082866;1.5;0;1.6666;0;4;0;24;0;0;;14;28.4998;49.12315174;40;1.228078794;1.2
25;Butrint;Adria;North Africa;0;0.5;0;4;0;26;0;0;0;12.1666;0;4;0;33;0;0;1;14.1666;7.058856748;4;1.764714187;31;0.227705056;0.2;0;1.6666;0;4;0;24;0;0;;1;28.4998;3.508796553;40;0.087719914;0.1
26;Butrint;Adria;unknown;0;0.5;0;4;0;26;0;0;0.5;12.1666;4.10961156;4;1.02740289;33;0.124533684;0.1;0.5;14.1666;3.529428374;4;0.882357093;31;0.113852528;0.1;0;1.6666;0;4;0;24;0;0;;1;28.4998;3.508796553;40;0.087719914;0.1
27;Butrint;Adria;Aegean;0.5;0.5;100;4;25;26;3.846153846;3.8;2;12.1666;16.43844624;4;4.10961156;33;0.498134734;0.5;4;14.1666;28.23542699;4;7.058856748;31;0.910820225;0.9;1.5;1.6666;90.00360014;4;22.50090004;24;3.750150006;3.8;;8;28.4998;28.07037242;40;0.701759311;0.7
29;Butrint;Adria;Pontic Sea;0;0.5;0;4;0;26;0;0;2;12.1666;16.43844624;4;4.10961156;33;0.498134734;0.5;2;14.1666;14.1177135;4;3.529428374;31;0.455410113;0.5;0;1.6666;0;4;0;24;0;0;;4;28.4998;14.03518621;40;0.350879655;0.4
187;Krk;Adria;Italy;0.5;4;12.5;4;3.125;26;0.480769231;0.5;6;15.75;38.0952381;4;9.523809524;33;1.154401154;1.2;2.5;10.45;23.92344498;4;5.980861244;31;0.771724031;0.8;0;1.45;0;4;0;24;0;0;;9;31.65;28.43601896;40;0.710900474;0.7
188;Krk;Adria;Gallia;3.5;4;87.5;4;21.875;26;3.365384615;3.4;9.75;15.75;61.9047619;4;15.47619048;33;1.875901876;1.9;7.25;10.45;69.37799043;4;17.34449761;31;2.237999691;2.2;0.25;1.45;17.24137931;4;4.310344828;24;0.718390805;0.7;;20.75;31.65;65.56082148;40;1.639020537;1.6
