ID;Site_name;region;origin;frequency_A;total_A;percentage_in_site_A;sites_A;percentage_all_A;frequency_B;total_B;percentage_site_B;sites_B;percentage_in_all_B;frequency_C;total_C;percentage_site_C;sites_C;percentage_all_C;frequency_D;total_D;percentage_site_D;sites_D;percentage_all_D
0;Adria;Adria;Italy;923.333;924.583;99.86480392;24;4.161033497;791.8333;798.5833;99.15475317;33;3.00468949;55.333;58.333;94.85711347;31;3.059906886;0;0.5;0;23;0
1;Adria;Adria;Gallia;0;924.583;0;24;0;2;798.5833;0.250443504;33;0.007589197;1;58.333;1.71429551;31;0.055299855;0;0.5;0;23;0
2;Adria;Adria;Eastern Mediterranean;1;924.583;0.108156866;24;0.004506536;2.5;798.5833;0.31305438;33;0.009486496;2;58.333;3.428591021;31;0.11059971;0;0.5;0;23;0
3;Adria;Adria;North Africa;0;924.583;0;24;0;0;798.5833;0;33;0;0;58.333;0;31;0;0;0.5;0;23;0
4;Adria;Adria;unknown;0;924.583;0;24;0;2;798.5833;0.250443504;33;0.007589197;0;58.333;0;31;0;0;0.5;0;23;0
5;Adria;Adria;Aegean;0.25;924.583;0.027039217;24;0.001126634;0.25;798.5833;0.031305438;33;0.00094865;0;58.333;0;31;0;0;0.5;0;23;0
6;Adria;Adria;Western Mediterranean;0;924.583;0;24;0;0;798.5833;0;33;0;0;58.333;0;31;0;0;0.5;0;23;0
7;Adria;Adria;Pontic Sea;0;924.583;0;24;0;0;798.5833;0;33;0;0;58.333;0;31;0;0.5;0.5;100;23;4.347826087
9;Adria;Adria;Egypt;0;924.583;0;24;0;0;798.5833;0;33;0;0;58.333;0;31;0;0;0.5;0;23;0
10;Adria;Adria;Iberian Peninsula;0;924.583;0;24;0;0;798.5833;0;33;0;0;58.333;0;31;0;0;0.5;0;23;0
11;Aquileia;Adria;Italy;62.5;67.75;92.25092251;24;3.843788438;270;275.25;98.09264305;33;2.972504335;270;274.75;98.2711556;31;3.170037277;6.25;6.25;100;23;4.347826087
12;Aquileia;Adria;Gallia;0;67.75;0;24;0;0;275.25;0;33;0;0;274.75;0;31;0;0;6.25;0;23;0
13;Aquileia;Adria;Eastern Mediterranean;1.875;67.75;2.767527675;24;0.115313653;1.875;275.25;0.68119891;33;0.020642391;1.75;274.75;0.636942675;31;0.020546538;0;6.25;0;23;0
14;Aquileia;Adria;North Africa;0;67.75;0;24;0;0;275.25;0;33;0;0;274.75;0;31;0;0;6.25;0;23;0
15;Aquileia;Adria;unknown;0;67.75;0;24;0;0;275.25;0;33;0;0;274.75;0;31;0;0;6.25;0;23;0
16;Aquileia;Adria;Aegean;3.375;67.75;4.981549815;24;0.207564576;3.375;275.25;1.226158038;33;0.037156304;3;274.75;1.091901729;31;0.035222636;0;6.25;0;23;0
17;Aquileia;Adria;Western Mediterranean;0;67.75;0;24;0;0;275.25;0;33;0;0;274.75;0;31;0;0;6.25;0;23;0
18;Aquileia;Adria;Pontic Sea;0;67.75;0;24;0;0;275.25;0;33;0;0;274.75;0;31;0;0;6.25;0;23;0
21;Aquileia;Adria;Iberian Peninsula;0;67.75;0;24;0;0;275.25;0;33;0;0;274.75;0;31;0;0;6.25;0;23;0
22;Butrint;Adria;Italy;0;0.5;0;24;0;7.5;12.1666;61.64417339;33;1.868005254;6.5;25.6666;25.3247411;31;0.816927132;0;13.1666;0;23;0
23;Butrint;Adria;Gallia;0;0.5;0;24;0;0;12.1666;0;33;0;0;25.6666;0;31;0;0;13.1666;0;23;0
24;Butrint;Adria;Eastern Mediterranean;0;0.5;0;24;0;0;12.1666;0;33;0;0;25.6666;0;31;0;0;13.1666;0;23;0
25;Butrint;Adria;North Africa;0;0.5;0;24;0;0;12.1666;0;33;0;1;25.6666;3.896114016;31;0.125681097;0;13.1666;0;23;0
26;Butrint;Adria;unknown;0;0.5;0;24;0;0.5;12.1666;4.10961156;33;0.124533684;0.5;25.6666;1.948057008;31;0.062840549;0;13.1666;0;23;0
27;Butrint;Adria;Aegean;0.5;0.5;100;24;4.166666667;2;12.1666;16.43844624;33;0.498134734;10;25.6666;38.96114016;31;1.256810973;7.5;13.1666;56.96231373;23;2.476622336
28;Butrint;Adria;Western Mediterranean;0;0.5;0;24;0;0.1666;12.1666;1.369322572;33;0.041494623;0.1666;25.6666;0.649092595;31;0.020938471;0.1666;13.1666;1.265322862;23;0.055014037
29;Butrint;Adria;Pontic Sea;0;0.5;0;24;0;2;12.1666;16.43844624;33;0.498134734;7.5;25.6666;29.22085512;31;0.94260823;5.5;13.1666;41.7723634;23;1.816189713
31;Butrint;Adria;Egypt;0;0.5;0;24;0;0;12.1666;0;33;0;0;25.6666;0;31;0;0;13.1666;0;23;0
32;Butrint;Adria;Iberian Peninsula;0;0.5;0;24;0;0;12.1666;0;33;0;0;25.6666;0;31;0;0;13.1666;0;23;0
33;Athens;Aegean;Italy;16.83;121.913;13.80492646;24;0.575205269;94.1666;197.3402;47.71790036;33;1.445996981;36.6666;142.4164;25.74605172;31;0.830517797;12.3333;45.7499;26.95809171;23;1.172090944
34;Athens;Aegean;Gallia;0;121.913;0;24;0;0;197.3402;0;33;0;0;142.4164;0;31;0;0;45.7499;0;23;0
35;Athens;Aegean;Eastern Mediterranean;56.333;121.913;46.20754144;24;1.925314227;44.166;197.3402;22.38064013;33;0.678201216;14.1666;142.4164;9.947309439;31;0.32088095;16.8333;45.7499;36.79417879;23;1.599746904
36;Athens;Aegean;North Africa;0;121.913;0;24;0;0;197.3402;0;33;0;0.5;142.4164;0.351083162;31;0.011325263;5.5;45.7499;12.0218842;23;0.522690617
37;Athens;Aegean;unknown;20.917;121.913;17.1573171;24;0.714888213;14.341;197.3402;7.267145772;33;0.220216539;8.4166;142.4164;5.909853079;31;0.190640422;1.25;45.7499;2.732246409;23;0.118793322
39;Athens;Aegean;Western Mediterranean;25.833;121.913;21.18970085;24;0.882904202;41.1666;197.3402;20.86072681;33;0.632143237;29;142.4164;20.36282338;31;0.65686527;9.8333;45.7499;21.49359889;23;0.9345043
40;Athens;Aegean;Pontic Sea;2;121.913;1.640514137;24;0.068354756;3.5;197.3402;1.773586933;33;0.053745059;2.5;142.4164;1.755415809;31;0.056626316;0;45.7499;0;23;0
41;Athens;Aegean;Adria;0;121.913;0;24;0;0;197.3402;0;33;0;0;142.4164;0;31;0;0;45.7499;0;23;0
42;Athens;Aegean;Egypt;0;121.913;0;24;0;0;197.3402;0;33;0;51.1666;142.4164;35.92746341;31;1.158950433;0;45.7499;0;23;0
43;Athens;Aegean;Iberian Peninsula;0;121.913;0;24;0;0;197.3402;0;33;0;0;142.4164;0;31;0;0;45.7499;0;23;0
44;Corinth;Aegean;Italy;0;0;0;24;0;4.5;7;64.28571429;33;1.948051948;7.5;10;75;31;2.419354839;5;5.5;90.90909091;23;3.95256917
45;Corinth;Aegean;Gallia;0;0;0;24;0;0;7;0;33;0;0;10;0;31;0;0;5.5;0;23;0
46;Corinth;Aegean;Eastern Mediterranean;0;0;0;24;0;2.5;7;35.71428571;33;1.082251082;0.5;10;5;31;0.161290323;0;5.5;0;23;0
47;Corinth;Aegean;North Africa;0;0;0;24;0;0;7;0;33;0;0;10;0;31;0;0;5.5;0;23;0
48;Corinth;Aegean;unknown;0;0;0;24;0;0;7;0;33;0;2;10;20;31;0.64516129;0.5;5.5;9.090909091;23;0.395256917
50;Corinth;Aegean;Western Mediterranean;0;0;0;24;0;0;7;0;33;0;0;10;0;31;0;0;5.5;0;23;0
51;Corinth;Aegean;Pontic Sea;0;0;0;24;0;0;7;0;33;0;0;10;0;31;0;0;5.5;0;23;0
52;Corinth;Aegean;Adria;0;0;0;24;0;0;7;0;33;0;0;10;0;31;0;0;5.5;0;23;0
53;Corinth;Aegean;Egypt;0;0;0;24;0;0;7;0;33;0;0;10;0;31;0;0;5.5;0;23;0
54;Corinth;Aegean;Iberian Peninsula;0;0;0;24;0;0;7;0;33;0;0;10;0;31;0;0;5.5;0;23;0
55;Gortyn;Aegean;Italy;0;0;0;24;0;22;30;73.33333333;33;2.222222222;22;30;73.33333333;31;2.365591398;0;0;0;23;0
56;Gortyn;Aegean;Gallia;0;0;0;24;0;0;30;0;33;0;0;30;0;31;0;0;0;0;23;0
57;Gortyn;Aegean;Eastern Mediterranean;0;0;0;24;0;8;30;26.66666667;33;0.808080808;8;30;26.66666667;31;0.860215054;0;0;0;23;0
58;Gortyn;Aegean;North Africa;0;0;0;24;0;0;30;0;33;0;0;30;0;31;0;0;0;0;23;0
59;Gortyn;Aegean;unknown;0;0;0;24;0;0;30;0;33;0;0;30;0;31;0;0;0;0;23;0
61;Gortyn;Aegean;Western Mediterranean;0;0;0;24;0;0;30;0;33;0;0;30;0;31;0;0;0;0;23;0
62;Gortyn;Aegean;Pontic Sea;0;0;0;24;0;0;30;0;33;0;0;30;0;31;0;0;0;0;23;0
63;Gortyn;Aegean;Adria;0;0;0;24;0;0;30;0;33;0;0;30;0;31;0;0;0;0;23;0
64;Gortyn;Aegean;Egypt;0;0;0;24;0;0;30;0;33;0;0;30;0;31;0;0;0;0;23;0
65;Gortyn;Aegean;Iberian Peninsula;0;0;0;24;0;0;30;0;33;0;0;30;0;31;0;0;0;0;23;0
66;Knidos;Aegean;Italy;2;7.3326;27.27545482;24;1.136477284;2;7.3326;27.27545482;33;0.826528934;2.5;11.8329;21.12753425;31;0.681533363;0.5;4.5;11.11111111;23;0.483091787
67;Knidos;Aegean;Gallia;0;7.3326;0;24;0;0;7.3326;0;33;0;0;11.8329;0;31;0;0;4.5;0;23;0
68;Knidos;Aegean;Eastern Mediterranean;4.666;7.3326;63.63363609;24;2.651401504;4.6666;7.3326;63.64181873;33;1.928539961;6.6666;11.8329;56.33952793;31;1.817404127;2;4.5;44.44444444;23;1.93236715
69;Knidos;Aegean;North Africa;0;7.3326;0;24;0;0;7.3326;0;33;0;0;11.8329;0;31;0;0;4.5;0;23;0
70;Knidos;Aegean;unknown;0.3333;7.3326;4.545454545;24;0.189393939;0.333;7.3326;4.541363227;33;0.137617067;2.333;11.8329;19.71621496;31;0.636006934;2;4.5;44.44444444;23;1.93236715
72;Knidos;Aegean;Western Mediterranean;0;7.3326;0;24;0;0;7.3326;0;33;0;0;11.8329;0;31;0;0;4.5;0;23;0
73;Knidos;Aegean;Pontic Sea;0.3333;7.3326;4.545454545;24;0.189393939;0.333;7.3326;4.541363227;33;0.137617067;0.3333;11.8329;2.816722866;31;0.090862028;0;4.5;0;23;0
74;Knidos;Aegean;Adria;0;7.3326;0;24;0;0;7.3326;0;33;0;0;11.8329;0;31;0;0;4.5;0;23;0
75;Knidos;Aegean;Egypt;0;7.3326;0;24;0;0;7.3326;0;33;0;0;11.8329;0;31;0;0;4.5;0;23;0
76;Knidos;Aegean;Iberian Peninsula;0;7.3326;0;24;0;0;7.3326;0;33;0;0;11.8329;0;31;0;0;4.5;0;23;0
